REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,PWRBIOCRIXX01,ELCCRIXX01,2021,0.63072
GLOBAL,S1D1,PWRBIOCRIXX01,ELCCRIXX01,2022,0.63072
GLOBAL,S1D1,PWRBIOCRIXX01,ELCCRIXX01,2023,0.63072
GLOBAL,S1D1,PWRBIOCRIXX01,ELCCRIXX01,2024,0.63072
GLOBAL,S1D1,PWRBIOCRIXX01,ELCCRIXX01,2025,0.63072
GLOBAL,S1D1,PWRBIOCRIXX01,ELCCRIXX01,2026,0.63072
GLOBAL,S1D1,PWRBIOCRIXX01,ELCCRIXX01,2027,0.63072
GLOBAL,S1D1,PWRBIOCRIXX01,ELCCRIXX01,2028,0.63072
GLOBAL,S1D1,PWRBIOCRIXX01,ELCCRIXX01,2029,0.63072
GLOBAL,S1D1,PWRBIOCRIXX01,ELCCRIXX01,2030,0.63072
GLOBAL,S1D1,PWRBIOCRIXX01,ELCCRIXX01,2031,0.63072
GLOBAL,S1D1,PWRGEOCRIXX01,ELCCRIXX01,2021,6.1589808
GLOBAL,S1D1,PWRGEOCRIXX01,ELCCRIXX01,2022,5.8719549
GLOBAL,S1D1,PWRGEOCRIXX01,ELCCRIXX01,2023,5.4746496
GLOBAL,S1D1,PWRGEOCRIXX01,ELCCRIXX01,2024,5.4746496
GLOBAL,S1D1,PWRGEOCRIXX01,ELCCRIXX01,2025,5.4746496
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2021,25.294193
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2022,25.294193
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2023,27.739724
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2024,28.059439
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2025,28.380551
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2026,28.455967
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2027,25.294193
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2028,28.455967
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2029,25.294193
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2030,28.455967
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2031,28.455967
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2032,28.455967
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2033,25.294193
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2034,25.294193
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2035,25.294193
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2036,28.455967
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2037,28.455967
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2038,28.455967
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2039,25.294193
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2040,25.294193
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2041,25.294193
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2042,28.455967
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2043,25.294193
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2044,25.294193
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2045,25.294193
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2046,25.294193
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2047,25.294193
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2048,25.294193
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2049,25.294193
GLOBAL,S1D1,PWRHYDCRIXX01,ELCCRIXX01,2050,28.455967
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2021,37.5544
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2022,39.6612
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2023,41.7772
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2024,43.884
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2025,46.0
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2026,48.484
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2027,50.9772
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2028,53.4612
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2029,55.9544
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2030,58.4476
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2031,61.1708
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2032,63.894
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2033,66.6172
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2034,69.3404
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2035,72.0636
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2036,75.1456
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2037,78.2276
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2038,81.3004
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2039,84.3824
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2040,87.4644
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2041,90.8132
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2042,94.1712
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2043,97.52
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2044,100.8688
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2045,104.2268
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2046,107.7596
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2047,111.2832
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2048,114.816
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2049,118.3488
GLOBAL,S1D1,PWRTRNCRIXX,ELCCRIXX02,2050,121.8724
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2021,5.4705062
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2022,7.864332
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2023,7.9321062
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2024,9.719191
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2025,11.51408
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2026,19.397313
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2027,25.052287
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2028,24.374513
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2029,30.029487
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2030,29.360913
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2031,32.084113
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2032,35.438033
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2033,41.323007
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2034,44.046207
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2035,46.769407
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2036,46.689633
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2037,49.771633
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2038,52.844433
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2039,59.088207
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2040,62.170207
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2041,65.519007
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2042,65.715233
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2043,72.225807
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2044,75.574607
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2045,78.932607
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2046,82.465407
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2047,85.989007
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2048,89.521807
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2049,93.054607
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2050,93.416433
GLOBAL,S1D1,RNWBIOCRIXX,BIOCRIXX,2021,2.270592
GLOBAL,S1D1,RNWBIOCRIXX,BIOCRIXX,2022,2.270592
GLOBAL,S1D1,RNWBIOCRIXX,BIOCRIXX,2023,2.270592
GLOBAL,S1D1,RNWBIOCRIXX,BIOCRIXX,2024,2.270592
GLOBAL,S1D1,RNWBIOCRIXX,BIOCRIXX,2025,2.270592
GLOBAL,S1D1,RNWBIOCRIXX,BIOCRIXX,2026,2.270592
GLOBAL,S1D1,RNWBIOCRIXX,BIOCRIXX,2027,2.270592
GLOBAL,S1D1,RNWBIOCRIXX,BIOCRIXX,2028,2.270592
GLOBAL,S1D1,RNWBIOCRIXX,BIOCRIXX,2029,2.270592
GLOBAL,S1D1,RNWBIOCRIXX,BIOCRIXX,2030,2.270592
GLOBAL,S1D1,RNWBIOCRIXX,BIOCRIXX,2031,2.270592
GLOBAL,S1D1,RNWGEOCRIXX,GEOCRIXX,2021,6.1589808
GLOBAL,S1D1,RNWGEOCRIXX,GEOCRIXX,2022,5.8719549
GLOBAL,S1D1,RNWGEOCRIXX,GEOCRIXX,2023,5.4746496
GLOBAL,S1D1,RNWGEOCRIXX,GEOCRIXX,2024,5.4746496
GLOBAL,S1D1,RNWGEOCRIXX,GEOCRIXX,2025,5.4746496
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2021,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2022,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2023,27.739724
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2024,28.059439
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2025,28.380551
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2026,28.455967
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2027,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2028,28.455967
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2029,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2030,28.455967
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2031,28.455967
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2032,28.455967
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2033,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2034,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2035,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2036,28.455967
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2037,28.455967
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2038,28.455967
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2039,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2040,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2041,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2042,28.455967
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2043,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2044,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2045,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2046,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2047,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2048,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2049,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2050,28.455967
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2021,5.4705062
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2022,7.864332
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2023,7.9321062
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2024,9.719191
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2025,11.51408
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2026,19.397313
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2027,25.052287
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2028,24.374513
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2029,30.029487
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2030,29.360913
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2031,32.084113
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2032,35.438033
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2033,41.323007
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2034,44.046207
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2035,46.769407
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2036,46.689633
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2037,49.771633
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2038,52.844433
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2039,59.088207
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2040,62.170207
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2041,65.519007
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2042,65.715233
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2043,72.225807
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2044,75.574607
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2045,78.932607
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2046,82.465407
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2047,85.989007
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2048,89.521807
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2049,93.054607
