REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2021,S1D2,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2021,S1D1,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2022,S1D2,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2022,S1D1,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2023,S1D2,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2023,S1D1,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2024,S1D2,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2024,S1D1,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2025,S1D2,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2025,S1D1,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2026,S1D2,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2026,S1D1,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2027,S1D2,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2027,S1D1,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2028,S1D2,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2028,S1D1,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2029,S1D2,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2029,S1D1,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2030,S1D2,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2030,S1D1,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2031,S1D2,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2031,S1D1,2.2705919999999997
GLOBAL,PWRGEOCRIXX01,GEOCRIXX,1,2021,S1D2,6.1589808
GLOBAL,PWRGEOCRIXX01,GEOCRIXX,1,2021,S1D1,6.1589808
GLOBAL,PWRGEOCRIXX01,GEOCRIXX,1,2022,S1D2,6.4460067
GLOBAL,PWRGEOCRIXX01,GEOCRIXX,1,2022,S1D1,5.8719549
GLOBAL,PWRGEOCRIXX01,GEOCRIXX,1,2023,S1D2,6.843312
GLOBAL,PWRGEOCRIXX01,GEOCRIXX,1,2023,S1D1,5.4746496
GLOBAL,PWRGEOCRIXX01,GEOCRIXX,1,2024,S1D2,6.843312
GLOBAL,PWRGEOCRIXX01,GEOCRIXX,1,2024,S1D1,5.4746496
GLOBAL,PWRGEOCRIXX01,GEOCRIXX,1,2025,S1D2,6.843312
GLOBAL,PWRGEOCRIXX01,GEOCRIXX,1,2025,S1D1,5.4746496
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2021,S1D2,31.617741
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2021,S1D1,25.294193
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2022,S1D2,31.617741
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2022,S1D1,25.294193
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2023,S1D2,29.17221
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2023,S1D1,27.739724
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2024,S1D2,28.852495
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2024,S1D1,28.059439
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2025,S1D2,28.531384
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2025,S1D1,28.380551
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2026,S1D2,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2026,S1D1,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2027,S1D2,31.617741
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2027,S1D1,25.294193
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2028,S1D2,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2028,S1D1,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2029,S1D2,31.617741
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2029,S1D1,25.294193
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2030,S1D2,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2030,S1D1,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2031,S1D2,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2031,S1D1,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2032,S1D2,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2032,S1D1,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2033,S1D2,31.617741
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2033,S1D1,25.294193
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2034,S1D2,31.617741
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2034,S1D1,25.294193
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2035,S1D2,31.617741
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2035,S1D1,25.294193
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2036,S1D2,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2036,S1D1,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2037,S1D2,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2037,S1D1,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2038,S1D2,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2038,S1D1,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2039,S1D2,31.617741
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2039,S1D1,25.294193
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2040,S1D2,31.617741
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2040,S1D1,25.294193
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2041,S1D2,31.617741
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2041,S1D1,25.294193
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2042,S1D2,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2042,S1D1,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2043,S1D2,31.617741
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2043,S1D1,25.294193
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2044,S1D2,31.617741
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2044,S1D1,25.294193
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2045,S1D2,31.617741
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2045,S1D1,25.294193
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2046,S1D2,31.617741
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2046,S1D1,25.294193
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2047,S1D2,31.617741
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2047,S1D1,25.294193
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2048,S1D2,31.617741
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2048,S1D1,25.294193
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2049,S1D2,31.617741
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2049,S1D1,25.294193
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2050,S1D2,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2050,S1D1,28.455967
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2021,S1D2,44.0856
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2021,S1D1,37.5544
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2022,S1D2,46.5588
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2022,S1D1,39.6612
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2023,S1D2,49.0428
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2023,S1D1,41.7772
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2024,S1D2,51.516
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2024,S1D1,43.884
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2025,S1D2,54.0
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2025,S1D1,46.0
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2026,S1D2,56.916
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2026,S1D1,48.484
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2027,S1D2,59.8428
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2027,S1D1,50.9772
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2028,S1D2,62.7588
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2028,S1D1,53.4612
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2029,S1D2,65.6856
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2029,S1D1,55.9544
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2030,S1D2,68.6124
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2030,S1D1,58.4476
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2031,S1D2,71.8092
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2031,S1D1,61.1708
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2032,S1D2,75.006
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2032,S1D1,63.894
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2033,S1D2,78.2028
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2033,S1D1,66.6172
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2034,S1D2,81.3996
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2034,S1D1,69.3404
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2035,S1D2,84.5964
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2035,S1D1,72.0636
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2036,S1D2,88.2144
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2036,S1D1,75.1456
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2037,S1D2,91.8324
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2037,S1D1,78.2276
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2038,S1D2,95.4396
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2038,S1D1,81.3004
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2039,S1D2,99.0576
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2039,S1D1,84.3824
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2040,S1D2,102.6756
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2040,S1D1,87.4644
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2041,S1D2,106.6068
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2041,S1D1,90.8132
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2042,S1D2,110.5488
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2042,S1D1,94.1712
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2043,S1D2,114.48
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2043,S1D1,97.52
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2044,S1D2,118.4112
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2044,S1D1,100.8688
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2045,S1D2,122.3532
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2045,S1D1,104.2268
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2046,S1D2,126.5004
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2046,S1D1,107.7596
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2047,S1D2,130.6368
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2047,S1D1,111.2832
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2048,S1D2,134.784
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2048,S1D1,114.816
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2049,S1D2,138.9312
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2049,S1D1,118.3488
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2050,S1D2,143.0676
GLOBAL,PWRTRNCRIXX,ELCCRIXX01,1,2050,S1D1,121.8724
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2021,S1D2,5.6781579
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2021,S1D1,5.4705062
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2022,S1D2,7.864332
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2022,S1D1,7.864332
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2023,S1D2,12.396558
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2023,S1D1,7.9321062
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2024,S1D2,15.189473
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2024,S1D1,9.719191
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2025,S1D2,17.994584
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2025,S1D1,11.51408
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2026,S1D2,27.829313
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2026,S1D1,19.397313
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2027,S1D2,27.594339
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2027,S1D1,25.052287
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2028,S1D2,33.672113
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2028,S1D1,24.374513
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2029,S1D2,33.437139
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2029,S1D1,30.029487
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2030,S1D2,39.525713
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2030,S1D1,29.360913
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2031,S1D2,42.722513
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2031,S1D1,32.084113
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2032,S1D2,46.550033
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2032,S1D1,35.438033
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2033,S1D2,46.585059
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2033,S1D1,41.323007
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2034,S1D2,49.781859
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2034,S1D1,44.046207
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2035,S1D2,52.978659
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2035,S1D1,46.769407
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2036,S1D2,59.758433
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2036,S1D1,46.689633
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2037,S1D2,63.376433
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2037,S1D1,49.771633
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2038,S1D2,66.983633
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2038,S1D1,52.844433
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2039,S1D2,67.439859
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2039,S1D1,59.088207
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2040,S1D2,71.057859
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2040,S1D1,62.170207
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2041,S1D2,74.989059
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2041,S1D1,65.519007
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2042,S1D2,82.092833
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2042,S1D1,65.715233
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2043,S1D2,82.862259
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2043,S1D1,72.225807
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2044,S1D2,86.793459
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2044,S1D1,75.574607
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2045,S1D2,90.735459
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2045,S1D1,78.932607
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2046,S1D2,94.882659
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2046,S1D1,82.465407
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2047,S1D2,99.019059
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2047,S1D1,85.989007
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2048,S1D2,103.16626
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2048,S1D1,89.521807
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2049,S1D2,107.31346
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2049,S1D1,93.054607
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2050,S1D2,114.61163
GLOBAL,PWRWONCRIXX01,WONCRIXX,1,2050,S1D1,93.416433
